id,order,field_key,display_name,question,new_demo_autofill
1,1,externalSystems,External Systems,Describe how your organization maintains and updates its inventory of external information systems.,"The external systems inventory is maintained in the Central Asset Registry CAR and updated through automated discovery integrations with our cloud providers and internal asset management tooling. All external systems are tagged with ownership, classification, purpose, and service provider details, and changes are logged through our Configuration Management Database CMDB integration.

Monthly reconciliation is performed by the IT Asset Governance team, and exceptions are reviewed as part of our quarterly internal control audit. The process is governed by the External System Inventory Policy ESIP v2.3 and was most recently tested in our SOC 2 Type II audit with no exceptions noted."
2,2,breachNotification,Breach Notification,Explain the process your organization follows to notify data controllers promptly upon becoming aware of a privacy data breach.,"Privacy breach notification is governed by the Breach Response Protocol BRP v3.1. Upon detection of a privacy-related incident, our Incident Response Lead classifies the event and initiates the Data Breach Notification Workflow within our GRC platform. If the incident meets the reporting threshold, the Data Protection Officer coordinates legal, compliance, and communications leads to draft and issue controller notifications within 24 hours of breach confirmation.

Notifications include incident type, affected data categories, impact assessment, containment status, and assigned points of contact. All breach events are logged in the Privacy Incident Register and reviewed quarterly by the Risk and Privacy Steering Committee. The current notification process was independently validated during a GDPR readiness assessment in early 2025 and is tested twice annually through simulation exercises."
3,3,privacyIncidentProcedure,Privacy Incident Procedure,Detail your organization's formal procedures for reporting and responding to privacy-related incidents.,"Privacy-related incidents are handled under the procedures outlined in the Incident Response Playbook IRP-Privacy v4.2, which defines classification tiers, triage timelines, notification workflows, and root cause documentation requirements. All suspected incidents are logged through the SecureEvents portal and automatically routed to our Privacy Response Group, which includes Legal, Security, and the Data Governance team.

Each case is assigned a severity rating using the Privacy Incident Impact Scale PIIS and tracked in the Privacy Case Management System PCMS. Weekly review meetings are held to review open incidents, ensure SLA compliance, and validate containment and remediation plans. The full process is tested through live exercises twice a year and is reviewed annually by our internal audit team for completeness and operational effectiveness."
4,4,publicPrivacyNotice,Public Privacy Notice,Describe how your organization provides publicly accessible privacy notices or policies at all points of personal data collection and processing.,"Our privacy policy is accessible via the Privacy Center on our website and is embedded contextually within user flows, including sign-up, consent forms, product onboarding, and support interactions. The policy outlines data collection, use, rights, sharing, and retention practices, and includes dynamic jurisdictional language for GDPR, CPRA, and LGPD compliance.

Policy management is governed by the Public Disclosure and Transparency Policy PDTP v1.9 and maintained in collaboration between Legal, Privacy Engineering, and UX. Updates are version-controlled and published with a changelog and notification banner upon rollout. The privacy policy content and delivery experience were reviewed in our 2024 accessibility audit and received positive marks during our most recent client data protection assessment."
5,5,privacyLawCompliance,Privacy Law Compliance,"Explain how your organization's privacy policies and standards are designed to protect customer privacy and comply with global and local privacy regulations (e.g., GDPR, CCPA, CPPA, GLBA).","Privacy governance is defined under our Global Privacy Compliance Framework GPCF v3.4, which maps regulatory obligations across jurisdictions including GDPR, CPRA, GLBA, and PIPEDA. Our framework establishes control families for data minimization, consent management, breach notification, and subject rights processing, each with mapped control owners and performance metrics.

All business units complete annual privacy control attestations, and new or significantly changed products must undergo a Privacy Impact Assessment PIA before launch. Policy updates are coordinated through the Legal and Risk teams and published in our internal compliance portal with release notes. In Q1 2025, our framework was independently benchmarked by a third-party consultancy and found to exceed baseline readiness across all major regulatory domains."
6,6,dataRetentionLimits,Data Retention Limits,Explain your organization's practices for retaining personal data only for the duration necessary for its intended purposes.,"Data retention is governed by the Data Lifecycle and Retention Policy DLRP v2.6, which defines maximum retention periods for each category of personal data based on business purpose, regulatory requirement, and classification tier. All retention rules are implemented through data lifecycle automation across production systems, with deletion or anonymization triggered at end-of-life events.

Biannual audits are conducted on randomly selected datasets to verify adherence to the policy, and exceptions such as litigation holds are tracked in the Legal Hold Registry. The DLRP was most recently reviewed in February 2025 and validated through our SOC 2 Type II audit with no control exceptions."
7,7,personalDataMinimization,Personal Data Minimization,Describe how your organization ensures that personal data collection and processing is limited to what is strictly necessary for intended purposes.,"Data minimization is enforced through our Privacy by Design Standard PbDS v1.3, which mandates that all new data collection activities undergo a Data Use Justification Review during intake. This review, coordinated by Legal and Privacy Engineering, evaluates purpose limitation, scope of data fields, and whether less invasive alternatives exist.

Only data fields deemed essential for business or legal purposes are approved for collection, and each is mapped to a declared processing purpose within our Data Inventory Management System. Privacy assurance tests are conducted quarterly, and findings are shared during the cross-functional Data Governance Council to ensure accountability and continuous refinement."
8,8,dataMinimizationTechniques,Data Minimization Techniques,"Detail the technical measures your organization employs, such as pseudonymization or encryption, to implement data minimization principles.","Technical data minimization is achieved through layered controls including pseudonymization of user identifiers in analytics platforms, field-level encryption for sensitive attributes, and environment-specific masking during test data generation. All systems that store or process personal data are subject to schema validation rules that enforce field-level restrictions aligned with business use cases.

Pseudonymization routines are documented in the Data Protection Configuration Manual DPCM v2.0, and outputs are subject to quarterly re-identification risk assessments. Our encryption protocols align with NIST SP 800-57, with all transmission secured via TLS 1.3 and storage protected using AES-256. These controls were successfully validated in our Q4 2024 internal privacy engineering audit."
9,9,dpoAppointment,DPO Appointment,"Detail your organization's appointment of a Data Protection Officer (DPO), their role in compliance oversight, and the implementation of clear, informed user consent mechanisms, including withdrawal processes.","A dedicated Data Protection Officer DPO has been appointed in accordance with GDPR Article 37 and reports directly to the board-level Risk Oversight Committee. The DPO leads regulatory risk analysis, advises on data protection impact assessments DPIAs, and serves as the escalation point for all data subject rights inquiries and breach-related notifications.

Consent is managed via our centralized Consent Preference Center, which allows users to provide, modify, or withdraw consent at any time through their account portal. All consent actions are recorded with timestamped audit logs and tied to processing activities through the Consent Registry System CRS. The DPO function was externally evaluated as part of our GDPR compliance readiness review in early 2025 and received no material findings."
10,10,developmentLifecycle,Development Lifecycle,Summarize the components and key stages of your organization's written System Development Lifecycle (SDLC).,"Our System Development Lifecycle SDLC is governed by the Secure Engineering Policy SEP v5.0 and includes clearly defined stages: planning, design, secure coding, testing, deployment, and post-release monitoring. Security is embedded at every phase, beginning with threat modeling during design and continuing through static and dynamic code analysis enforced in our CI/CD pipeline.

All application changes are tracked in our change management system and require peer review and security approval before deployment to production. The SDLC incorporates rollback planning, audit log generation, and remediation workflows for failed builds or security scans. This process is reviewed semi-annually by the Engineering Governance Team and was validated during our most recent ISO 27001 surveillance audit."
11,11,secureCodeReviews,Secure Code Reviews,Explain how your organization verifies that developers adhere to secure coding standards through source code reviews.,"All code contributions undergo mandatory secure code review by trained reviewers using our Pull Request Security Checklist PRSC, which aligns with OWASP Secure Coding Guidelines. Reviews are conducted in GitLab and enforced by branch protection rules that require at least one security-approved reviewer to sign off before merge.

Security-specific feedback is tracked in our Secure Code Review Tracker and analyzed quarterly for recurring patterns or retraining needs. Developers complete annual secure development training and must pass role-based knowledge checks to maintain reviewer eligibility. The review process and its effectiveness were validated during our 2024 AppSec maturity audit."
12,12,codeScanning,Code Scanning,Detail your organization's practices for performing automated static or dynamic source code scanning.,"Automated static and dynamic application security testing is embedded into our CI/CD pipeline and triggered on every build to protected branches. Static analysis is conducted using CodeQL and SonarQube, while authenticated DAST scans are performed in staging environments using StackHawk and Zaproxy.

Findings are triaged by severity and tracked in our Application Vulnerability Register AVR. Critical and high vulnerabilities are blocked from release by security gates unless formally exceptioned by the AppSec team. Scan coverage and remediation rates are reviewed monthly by the Security Engineering Lead and reported to the Risk Oversight Committee as part of ongoing software assurance metrics."
13,13,developerAccessControls,Developer Access Controls,Describe your organization's approach to restricting developer access to production environments or securing systems during code deployment.,"Developer access to production environments is tightly restricted through a zero standing privilege model enforced via our Privileged Access Management PAM platform. Code deployment is handled exclusively through automated pipelines, and developers do not have direct shell access to production infrastructure.

In emergency scenarios, Just-in-Time access can be granted for limited durations with multi-approver sign-off and full session recording. All access events are logged, and weekly audits are performed by the Infrastructure Security Team. Compliance with this model was reviewed in our most recent SOC 2 Type II audit and found fully effective in preventing privilege drift and unauthorized access."
14,14,backupRecoveryDocument,Backup Recovery Document,Explain your organization's documented requirements for backing up and restoring critical systems in cases of data loss or corruption.,"Backup and recovery governance is defined in the Business Continuity and Data Recovery Standard BCDRS v3.1. All critical systems are backed up daily, with high-availability assets utilizing continuous replication. Backups are encrypted using AES-256 and stored in geo-redundant cloud regions with automated integrity checks performed weekly.

Full recovery tests are conducted quarterly in isolated environments to validate completeness, speed, and documentation accuracy. The most recent backup restoration exercise achieved a 100 percent success rate across Tier 1 systems and was independently reviewed by our internal audit team in Q1 2025."
15,15,cyberLiabilityInsurance,Cyber Liability Insurance,"Explain your organization's coverage under Cyber Liability, Network Security, and Privacy Liability Insurance policies.","Our organization maintains active Cyber Liability, Network Security, and Privacy Liability Insurance policies underwritten by a leading global insurer, with $10M in combined coverage. Policies include breach response costs, regulatory fines, business interruption, and third-party liability, and are reviewed annually during our enterprise risk evaluation process.

Insurance certificates and coverage details are stored in the Risk & Compliance Portal and are verified during client due diligence reviews. Policy scope was expanded in January 2025 to reflect increased exposure from international operations and has been validated against our incident scenarios during tabletop simulations led by Legal and Risk."
16,16,dataLocationTracking,Data Location Tracking,Explain the procedures or technical measures your organization employs to define and document physical locations for processing and backing up customer data in cloud environments.,"All cloud data processing and storage locations are documented in the Cloud Data Residency Register CDRR and managed through automated inventory syncs with our cloud providers via native APIs. Region tags, backup site metadata, and compliance jurisdiction mappings are updated weekly and reconciled during monthly configuration drift checks.

Customer data is restricted to approved geographic zones based on contractual or regulatory requirements, and data movement across regions is monitored in real-time through our cloud security posture management CSPM platform. The residency register was reviewed during our 2025 data sovereignty audit and passed with no findings."
17,17,alternateFacilities,Alternate Facilities,"Outline your organization's exercise and testing program to demonstrate connectivity, capacity, and functionality at alternate recovery facilities.","Alternate recovery facilities are tested semi-annually through structured business continuity and disaster recovery exercises. Each test validates system failover, user authentication, application performance, and load-handling capacity against defined recovery time and point objectives RTO/RPO.

Test scenarios include simulated regional data center outages and supply chain disruptions, with full execution logs reviewed by the Resilience Governance Team. Results and remediation plans are documented in the Resilience Testing Report RTR and presented to senior leadership and internal audit as part of the annual enterprise risk review."
18,18,logicalAccess,Logical Access,Provide details on the established process your organization uses to grant logical access only to authorized individuals with legitimate business requirements.,"Logical access is governed by the Access Control and Provisioning Policy ACP v4.2 and is provisioned using a role-based access model tied to documented job functions. All access requests require managerial approval and justification, and provisioning is automated through workflows integrated with our HRIS and Identity Governance platform.

Quarterly access reviews are conducted for high-sensitivity systems, and any exceptions are logged in the Access Exceptions Register for remediation tracking. Terminated users are deprovisioned within 15 minutes via automated offboarding scripts, and all access logs are retained for audit in accordance with our data retention policy."
19,19,detectionSystems,Detection Systems,Explain your organization's procedures and tools for promptly investigating notifications from cybersecurity detection systems.,"All detection alerts are aggregated through our Security Information and Event Management SIEM platform, which ingests logs from EDR, firewall, cloud infrastructure, and SaaS applications. Alerts are triaged using a custom severity model and routed to the Security Operations Center SOC, which operates 24x7.

Critical alerts are reviewed within 15 minutes, and response workflows are executed using documented playbooks from the Incident Response Library. All investigation actions are timestamped and logged in the Incident Management Platform, and resolution metrics such as Mean Time to Acknowledge MTTA and Mean Time to Resolve MTTR are reviewed weekly by the Security Governance Team."
20,20,disasterRecoveryTesting,Disaster Recovery Testing,"Describe how your organization conducts comprehensive disaster recovery tests or exercises for all critical technology components, including frequency and scope.","Comprehensive disaster recovery tests are conducted annually and scoped to include all Tier 1 and Tier 2 systems, critical applications, and cloud infrastructure components. The tests simulate full-system outages, validate data restoration from backups, and confirm achievement of recovery time and point objectives RTO/RPO.

Results are documented in the Disaster Recovery Test Report DRTR and reviewed with the Business Continuity and IT Resilience teams within 10 business days. Identified issues are logged in the DR Remediation Tracker and monitored until closure. The most recent exercise in Q1 2025 demonstrated full recovery across 100 percent of declared systems with no critical failures."
21,21,appVulnerabilityScanning,App Vulnerability Scanning,"Provide details on how and when your organization conducts vulnerability scans for applications, including APIs, especially following significant changes or updates.","Application and API vulnerability scans are conducted quarterly and automatically triggered following significant changes, including updates to authentication logic, external integrations, or data processing workflows. Scanning is performed using authenticated tools such as Burp Suite and StackHawk in pre-production environments, aligned with OWASP Top 10 and API Security best practices.

All findings are logged in the Vulnerability Management Tracker and assigned severity-based SLAs for remediation. Resolved vulnerabilities are re-tested prior to closure, and scan completion rates are reviewed monthly by the AppSec team. Scan frequency and coverage requirements are defined in the Secure Software Development Policy SSDP v3.2 and were independently assessed during our 2024 third-party application security audit."
22,22,testingIssueTracking,Testing Issue Tracking,"Explain your organization's method for documenting and resolving issues identified during business continuity testing, including action planning and target timelines.","Issues identified during business continuity exercises are logged in the Business Continuity Test Issue Tracker BCTIT, categorized by severity, and assigned remediation owners. Each issue requires a documented root cause analysis and action plan with a target resolution timeline, reviewed and approved by the Resilience Program Manager.

Progress is monitored weekly during Business Continuity Governance meetings, and outstanding issues are escalated through the Risk Steering Committee if not resolved within SLA. Post-remediation validation is conducted during the next scheduled test cycle, and status summaries are included in the annual business continuity audit report."
23,23,cloudDataRetrieval,Cloud Data Retrieval,Describe how your organization enables cloud service consumers (CSCs) to programmatically retrieve their data via encrypted application interfaces to facilitate interoperability and portability.,"Cloud service consumers can retrieve their data programmatically through our RESTful and GraphQL APIs secured with OAuth 2.0 and TLS 1.3. Export formats include JSON and CSV, designed for compatibility with industry-standard systems. All data retrieval endpoints are documented in the Developer Portal and include usage limits and encryption expectations.

Export requests are logged and monitored through the API Gateway with support for payload encryption at rest during staging. Retrieval history is available to clients in their dashboard, and the system supports full data portability in compliance with GDPR Article 20 and other global data rights frameworks."
24,24,recoverySystemsUpdate,Recovery Systems Update,Detail the process for updating recovery documentation and systems at alternate sites after changes to primary systems or business processes.,"All production system and business process changes are subject to Change Control Policy CCP v3.1, which includes a mandatory step for updating related recovery documentation and alternate site configurations. Change tickets automatically notify the Resilience Engineering Team to review and apply updates to the recovery environment within five business days.

Recovery playbooks, infrastructure-as-code templates, and configuration baselines are version-controlled in our central DR repository. Validation of alternate site readiness is conducted quarterly and includes dry-run deployment of the most recent changes to confirm synchronization accuracy."
25,25,webApplicationSecurity,Web Application Security,"Describe the application-layer security solutions your organization employs, such as Web Application Firewalls (WAF) or proxy services.","Application-layer protection is enforced using a combination of Cloudflare WAF, internal API gateway security rules, and layered reverse proxy configurations. The WAF is tuned weekly to block OWASP Top 10 threats, bot traffic, and zero-day attack signatures, and all configuration changes require security approval and change control tracking.

Additional controls include TLS 1.3 enforcement, browser integrity checks, and rate limiting on authentication and sensitive endpoints. Security events are logged to our SIEM in real time and reviewed during weekly AppSec monitoring rounds. Application-layer protections are reviewed as part of our annual penetration test and were most recently validated in Q1 2025 with no critical issues reported."
26,26,technicalResilience,Technical Resilience,"Provide details on technical mechanisms, such as fail-safe systems, load balancing, or hot swapping, used to support resilience during typical and adverse scenarios.","Our infrastructure is designed with fault tolerance at its core, leveraging multi-region deployments with active-active load balancing and real-time data replication across cloud zones. All critical services run in containerized environments with hot-swappable instances and automated orchestration using Kubernetes and Terraform.

Traffic is routed through a resilient DNS and edge delivery system with integrated health checks, and failover procedures are tested quarterly through simulation exercises. Infrastructure telemetry is continuously monitored via our observability platform, and resilience metrics are reviewed monthly by the Site Reliability and Risk Engineering teams."
27,27,externalDependencyResilience,External Dependency Resilience,"Describe how your organization's resilience planning incorporates critical external dependencies and business partners, including participation in resilience exercises.","Critical third-party dependencies are identified and risk-tiered through our Third-Party Resilience Assessment Framework and logged in the External Dependency Register EDR. All Tier 1 vendors are required to provide annual attestations of their continuity and recovery capabilities, including documentation of their most recent BCP and DR tests.

Where feasible, key vendors participate in joint resilience exercises simulating upstream service failure, connectivity disruptions, and data availability loss. Results of these exercises are reviewed by the Business Continuity Steering Committee and documented in the Resilience Exercise Summary Report. Remediation plans and SLA adjustments are tracked in our Third-Party Risk Portal and followed up during quarterly business reviews."
28,28,backupProcessTesting,Backup Process Testing,"Explain your organization's procedures for regularly testing backup and replication processes, including full system recovery tests.","Backup and replication processes are tested quarterly across all environments using full recovery simulations and integrity validation scripts. Backup health is monitored continuously through our cloud-native backup platform, and test cases include restoration of encrypted volumes, transactional databases, and configuration states.

Each test generates a Backup Recovery Validation Report BRVR, reviewed by the Infrastructure and Compliance teams. Any failed scenarios are documented in the Backup Testing Exceptions Log and tracked until resolution. The most recent round of testing achieved a 100 percent success rate across Tier 1 systems and was independently reviewed during our internal audit in Q1 2025."
29,29,penetrationTesting,Penetration Testing,"Describe your organization's penetration testing processes, including frequency and triggering events, for hosted internet-facing applications and APIs.","Penetration tests are conducted annually on all internet-facing applications and APIs, and additionally triggered by significant changes such as architecture redesigns, new integrations, or updates to authentication mechanisms. Tests are performed by CREST-certified third-party vendors using methodologies based on OWASP Testing Guide and NIST 800-115.

Findings are logged in the Penetration Testing Tracker and assigned remediation SLAs based on severity. All critical vulnerabilities must be remediated and retested before the next release cycle. Executive summaries are shared with senior leadership, and test coverage is reviewed quarterly by the Risk and Application Security teams to ensure scope alignment and continuous improvement."
30,30,incidentContainment,Incident Containment,Outline your organization's incident response strategies designed to contain diverse types of cybersecurity incidents affecting your systems and information.,"Containment procedures are outlined in our Cybersecurity Incident Response Plan CIRP v4.0, which includes playbooks for ransomware, insider threats, credential compromise, DDoS, and third-party breaches. Each incident type has predefined isolation steps, escalation paths, and communication workflows coordinated by the Incident Response Team.

Containment tools include EDR-based isolation, API key revocation, DNS routing changes, and identity provider lockouts. Incident containment timelines and effectiveness are reviewed during monthly post-incident analysis sessions, and strategy updates are implemented as part of our continuous improvement process. The containment framework was last tested during a red team simulation in Q4 2024."
31,31,privacyPolicyDocument,Privacy Policy Document,Summarize the key components covered in your organization's written privacy policy.,"Our publicly accessible privacy policy outlines the categories of personal data collected, legal bases for processing, data sharing practices, retention periods, and user rights including access, correction, deletion, and objection. It also includes jurisdiction-specific disclosures for GDPR, CPRA, and other global regulations.

The policy is maintained under the Privacy Governance Framework PGF v3.0 and reviewed quarterly by Legal and the Data Protection Officer. Users are notified of any material changes via our Privacy Center and email, and previous versions are archived for reference in accordance with transparency requirements."
32,32,policyAcknowledgement,Policy Acknowledgement,Detail the process your organization uses to ensure employees acknowledge the acceptable use policy before gaining system access.,"All new hires must electronically acknowledge the Acceptable Use Policy AUP during onboarding via our HRIS platform before any access credentials are issued. The AUP outlines proper use of corporate systems, data handling expectations, prohibited behaviors, and device security requirements.

Re-attestation is required annually and upon any material policy update. Acknowledgments are timestamped and stored in the Policy Compliance Ledger for audit review. Compliance metrics are reported quarterly to the Security Governance Committee."
33,33,changeManagement,Change Management,"Describe your organization's written governance document covering the change management program, including scope and key controls.","Change management is governed by the Change Control Policy CCP v5.1, which defines required procedures for planning, risk assessment, approvals, and rollback preparation for all changes to production systems. Changes must be submitted via our centralized ITSM platform and undergo impact scoring and multi-role approval before execution.

Emergency changes follow a separate expedited workflow and must be documented and reviewed retroactively within 48 hours. All approved changes are logged in the Change Audit Register and reviewed weekly by the Change Advisory Board CAB. The program aligns with ITIL best practices and was reviewed during our 2024 SOC 2 Type II audit."
34,34,remoteMfa,Remote MFA,Explain your organization's multifactor authentication requirements for remote network access.,"Multifactor authentication MFA is required for all remote access to corporate networks and cloud environments. Enforcement is handled through our identity provider and PAM solution, requiring a combination of username-password credentials and a second factor, such as TOTP via mobile authenticator app or hardware security token.

Enrollment is mandatory during onboarding and is audited monthly by the IT Security team. Access requests without MFA are automatically denied and flagged in the Access Control Exception Log. Our MFA policy complies with NIST 800-63B and is outlined in the Network Access Security Policy NASP v3.0."
35,35,securityPolicy,Security Policy,"Describe your organization's documented information security or cybersecurity policies, including their scope and coverage.","The Information Security Policy ISP v6.2 outlines our security governance across domains including access control, data protection, incident response, asset management, and vendor risk. It applies to all personnel, systems, and third-party partners, and is reviewed semi-annually by the Security Governance Committee.

The policy framework is aligned with ISO 27001, NIST CSF, and SOC 2 criteria. All employees must attest to policy acceptance upon hire and annually thereafter. Policy changes are tracked with version control and published through the internal compliance portal with summary highlights and acknowledgment tracking."
36,36,changeAuditTrail,Change Audit Trail,Provide details on how your organization maintains an audit trail for tracking and documenting all system and process changes.,"All system and process changes are tracked in our centralized Change Management System, which logs requester identity, timestamps, approval workflows, impacted assets, and rollback plans. Changes are linked to ticket IDs and version control commits when applicable, and logs are retained for a minimum of 18 months.

Weekly audits of the change log are conducted by the Infrastructure Security Team to validate completeness and adherence to change procedures. Unauthorized or undocumented changes are escalated to the Change Advisory Board CAB for review and corrective action."
