Group,Question,Answer,Type,Answered At
Uncategorized,Legal Entity Name,hello,text,2025-02-22T18:30:18.487Z
Uncategorized,Registration Number,a,text,2025-02-22T18:30:18.487Z
Uncategorized,Incorporation Date,1,date,2025-02-22T18:30:18.487Z
Uncategorized,Registered Address,asdff,text,2025-02-22T18:30:18.487Z
Uncategorized,Business Type,Private Company,text,2025-02-22T18:30:18.487Z
Uncategorized,Jurisdiction,you know,text,2025-02-22T18:30:18.487Z
Uncategorized,Tax ID,a,text,2025-02-22T18:30:18.487Z
Uncategorized,Corporate Registration,a,text,2025-02-22T18:30:18.487Z
Uncategorized,Directors and Officers,{"Samantha Seaton (CEO)"},text,2025-02-22T18:30:18.487Z
Uncategorized,Ultimate Beneficial Owners,affffa,text,2025-02-22T18:30:18.487Z
Uncategorized,Authorized Signers,{"Samantha Seaton (CEO)"},text,2025-02-22T18:30:18.487Z
Uncategorized,Good Standing,,boolean,2025-02-22T18:30:18.487Z
Uncategorized,Licenses,fffff,text,2025-02-22T18:30:18.487Z
Uncategorized,Sanctions Check,a,text,2025-02-22T18:30:18.487Z
Uncategorized,Due Diligence,a,text,2025-02-22T18:30:18.487Z
Uncategorized,Financial Statements,a,text,2025-02-22T18:30:18.487Z
Uncategorized,Operational Policies,a,text,2025-02-22T18:30:18.487Z